instance_idx,seed,N,method,final_fidelity,F_ad,final_energy
30,2087365055,8,no_cd,0.07555172596063754,0.4751114653036012,-5.282269247486383
30,2087365055,8,teacher_weighted_K3_N8,0.6864436779333445,0.8881976993115352,-13.997380528709606
30,2087365055,8,gnn_N6_to_N8_K3,0.7139136021841572,0.8978929088701882,-14.142315110693175
31,920733242,8,no_cd,0.07941379379374268,0.4368332840926541,-7.286469522674656
31,920733242,8,teacher_weighted_K3_N8,0.5651725557611319,0.8147541604858533,-15.971635871921183
31,920733242,8,gnn_N6_to_N8_K3,0.618772984786212,0.8405750462176057,-16.581695556933553
32,1598128657,8,no_cd,0.08268733829322455,0.4522336104309575,-6.770661887938097
32,1598128657,8,teacher_weighted_K3_N8,0.5053587046989357,0.7923707822513713,-14.18438442659764
32,1598128657,8,gnn_N6_to_N8_K3,0.565626050991749,0.8221514890669829,-14.764665242096143
33,599060022,8,no_cd,0.08399730836310543,0.4866739822272567,-4.83247452376541
33,599060022,8,teacher_weighted_K3_N8,0.5924004422027853,0.8479389459997729,-11.79633592821098
33,599060022,8,gnn_N6_to_N8_K3,0.6364883181686624,0.8673025193580189,-12.144346214151405
34,509552972,8,no_cd,0.08389125115689892,0.45739647674931394,-6.208457903082309
34,509552972,8,teacher_weighted_K3_N8,0.6866284215451152,0.8820663289016033,-15.749446410272247
34,509552972,8,gnn_N6_to_N8_K3,0.7320097465747888,0.9011531496216115,-16.081887517156847
35,1298622489,8,no_cd,0.08026358556983271,0.4594149743628802,-6.277916843920544
35,1298622489,8,teacher_weighted_K3_N8,0.5581058915129273,0.8207261099991063,-13.83403960968029
35,1298622489,8,gnn_N6_to_N8_K3,0.5876211798806747,0.8358708257356842,-14.122332827433295
