protocol,family,kind,params_json,eta,alpha,N,F_ad,F_gs,final_energy
mixed_p0.7_q0.25_eta2,mixed,mixed_power,"{""p"": 0.7, ""q"": 0.25}",2.0,0.0,0.9947401878951472,nan,0.9883501208593315,-12.304068627931604
mixed_p0.55_q0.25_eta1,mixed,mixed_power,"{""p"": 0.55, ""q"": 0.25}",1.0,0.0,0.9935326356079918,nan,0.9878684283068531,-12.293988008720317
mixed_p0.55_q0.25_eta0.5,mixed,mixed_power,"{""p"": 0.55, ""q"": 0.25}",0.5,0.0,0.9937784835892677,nan,0.9868623859995711,-12.296040342113635
mixed_p0.55_q0.25_eta1.5,mixed,mixed_power,"{""p"": 0.55, ""q"": 0.25}",1.5,0.0,0.9925188940871446,nan,0.9856246573176303,-12.28552531740746
mixed_p0.7_q0.25_eta1.5,mixed,mixed_power,"{""p"": 0.7, ""q"": 0.25}",1.5,0.0,0.9942219561878414,nan,0.985358540091343,-12.299742441347277
mixed_p0.85_q0.25_eta2,mixed,mixed_power,"{""p"": 0.85, ""q"": 0.25}",2.0,0.0,0.9919547653901873,nan,0.9800220209567836,-12.280815983790461
mixed_p0.7_q0.25_eta1,mixed,mixed_power,"{""p"": 0.7, ""q"": 0.25}",1.0,0.0,0.9930213207450334,nan,0.9797122219237644,-12.289719563796332
mixed_p0.55_q0.25_eta2,mixed,mixed_power,"{""p"": 0.55, ""q"": 0.25}",2.0,0.0,0.9898592292743164,nan,0.9787796000600432,-12.263322495639024
mixed_p1.2_q0.5_eta2,mixed,mixed_power,"{""p"": 1.2, ""q"": 0.5}",2.0,0.0,0.9856348495861221,nan,0.9770082028458432,-12.228057469442192
mixed_p0.7_q0.25_eta0.5,mixed,mixed_power,"{""p"": 0.7, ""q"": 0.25}",0.5,0.0,0.990941016926881,nan,0.9731064894235432,-12.272353234522111
mixed_p0.85_q0.5_eta1,mixed,mixed_power,"{""p"": 0.85, ""q"": 0.5}",1.0,0.0,0.9855233393528235,nan,0.9721064561837525,-12.227126584533934
mixed_p0.85_q0.5_eta0.5,mixed,mixed_power,"{""p"": 0.85, ""q"": 0.5}",0.5,0.0,0.9889626361563857,nan,0.9718015778724476,-12.255837756547013
mixed_p0.85_q0.25_eta1.5,mixed,mixed_power,"{""p"": 0.85, ""q"": 0.25}",1.5,0.0,0.9896195137455928,nan,0.9700822423892839,-12.261321355821064
target_eta3_alpha-0.08,target+CD,smooth,{},3.0,-0.08,0.970088273544806,nan,0.9691896007378638,-12.098275003888672
mixed_p1.2_q0.75_eta1.5,mixed,mixed_power,"{""p"": 1.2, ""q"": 0.75}",1.5,0.0,0.9796010959032319,nan,0.9676149436833713,-12.17768783001631
power_p1.6_eta2,power,power,"{""p"": 1.6}",2.0,0.0,0.9755165590499788,nan,0.9657354084009668,-12.143590208646138
target_eta2.5_alpha-0.08,target+CD,smooth,{},2.5,-0.08,0.9735808333238981,nan,0.9655807729736765,-12.127430814018119
mixed_p1.2_q0.5_eta1.5,mixed,mixed_power,"{""p"": 1.2, ""q"": 0.5}",1.5,0.0,0.9841424865912826,nan,0.964337396456321,-12.215599256877805
mixed_p0.7_q0.5_eta0.5,mixed,mixed_power,"{""p"": 0.7, ""q"": 0.5}",0.5,0.0,0.983193683671757,nan,0.9626384761562774,-12.207678671541641
mixed_p1.2_q0.75_eta1,mixed,mixed_power,"{""p"": 1.2, ""q"": 0.75}",1.0,0.0,0.9823487428846954,nan,0.9621976963410336,-12.200625124940759
mixed_p0.85_q0.25_eta1,mixed,mixed_power,"{""p"": 0.85, ""q"": 0.25}",1.0,0.0,0.98718447187872,nan,0.960565224995177,-12.240993681330622
target_eta2_alpha-0.12,target+CD,smooth,{},2.0,-0.12,0.9596727757432924,nan,0.959448341439121,-12.011326663556027
mixed_p0.85_q0.5_eta1.5,mixed,mixed_power,"{""p"": 0.85, ""q"": 0.5}",1.5,0.0,0.9775790191737314,nan,0.9580562103925362,-12.160807579162647
target_eta1.5_alpha-0.12,target+CD,smooth,{},1.5,-0.12,0.9667399430148119,nan,0.9576883088114424,-12.070323216272165
mixed_p1.2_q0.75_eta2,mixed,mixed_power,"{""p"": 1.2, ""q"": 0.75}",2.0,0.0,0.9717027027782275,nan,0.9539957023992668,-12.111752222654932
mixed_p0.85_q0.25_eta0.5,mixed,mixed_power,"{""p"": 0.85, ""q"": 0.25}",0.5,0.0,0.9848185757295811,nan,0.9535706341369826,-12.22124323372963
target_eta2_alpha-0.08,target+CD,smooth,{},2.0,-0.08,0.973521303162582,nan,0.953278293672746,-12.1269338575764
mixed_p1.6_q0.75_eta2,mixed,mixed_power,"{""p"": 1.6, ""q"": 0.75}",2.0,0.0,0.9738242156636627,nan,0.9501023963395945,-12.129462564291806
power_p1.2_eta1,power,power,"{""p"": 1.2}",1.0,0.0,0.9739832975683698,nan,0.9497173484589568,-12.130790576438208
target_eta3_alpha-0.05,target+CD,smooth,{},3.0,-0.05,0.9716708072835657,nan,0.9477860644208669,-12.111485959786101
power_p1.6_eta1.5,power,power,"{""p"": 1.6}",1.5,0.0,0.9735473729941915,nan,0.9467416047654742,-12.127151487941688
mixed_p1.2_q0.5_eta1,mixed,mixed_power,"{""p"": 1.2, ""q"": 0.5}",1.0,0.0,0.9804276460501993,nan,0.9455706778922284,-12.184587851969182
target_eta2.5_alpha-0.12,target+CD,smooth,{},2.5,-0.12,0.9455540557877036,nan,0.9442452271415207,-11.89346390834701
target_eta1_alpha-0.12,target+CD,smooth,{},1.0,-0.12,0.9650724689470672,nan,0.9385528321697818,-12.0564031804274
mixed_p0.7_q0.5_eta1,mixed,mixed_power,"{""p"": 0.7, ""q"": 0.5}",1.0,0.0,0.968820258949731,nan,0.937153638524508,-12.08768964669688
mixed_p1.2_q0.75_eta0.5,mixed,mixed_power,"{""p"": 1.2, ""q"": 0.75}",0.5,0.0,0.9768450633325005,nan,0.9367545253252872,-12.154680532382109
power_p1.2_eta0.5,power,power,"{""p"": 1.2}",0.5,0.0,0.9740844440892669,nan,0.93636662883784,-12.131634945309482
mixed_p0.85_q0.5_eta2,mixed,mixed_power,"{""p"": 0.85, ""q"": 0.5}",2.0,0.0,0.9689615030216143,nan,0.9357206153599992,-12.088868749017875
target_eta1.5_alpha-0.08,target+CD,smooth,{},1.5,-0.08,0.9702439236066235,nan,0.9349428325840794,-12.099574367088167
mixed_p0.85_q0.75_eta0.5,mixed,mixed_power,"{""p"": 0.85, ""q"": 0.75}",0.5,0.0,0.9720431644694344,nan,0.932229767548202,-12.114594389161173
target_eta2.5_alpha-0.05,target+CD,smooth,{},2.5,-0.05,0.9688797426946568,nan,0.9319032918058524,-12.088186215655622
mixed_p1.2_q0.5_eta0.5,mixed,mixed_power,"{""p"": 1.2, ""q"": 0.5}",0.5,0.0,0.976232781289918,nan,0.9290519755004151,-12.149569215723744
mixed_p1.2_q0.25_eta2,mixed,mixed_power,"{""p"": 1.2, ""q"": 0.25}",2.0,0.0,0.9715825343597945,nan,0.9278009055358712,-12.110749059412784
mixed_p1.6_q0.75_eta1.5,mixed,mixed_power,"{""p"": 1.6, ""q"": 0.75}",1.5,0.0,0.9688975360101619,nan,0.9248748347102759,-12.08833475385146
power_p1.2_eta1.5,power,power,"{""p"": 1.2}",1.5,0.0,0.95836234221398,nan,0.9229420138886945,-12.00038719405958
sine_a-0.1_eta0.5,sine,sine,"{""coeffs"": [-0.1]}",0.5,0.0,0.9489479968743543,nan,0.9222269447465735,-11.921796451860022
target_eta3_alpha-0.12,target+CD,smooth,{},3.0,-0.12,0.9331683015600278,nan,0.9221088405786745,-11.79006791188221
sine_a-0.06_eta0.5,sine,sine,"{""coeffs"": [-0.06]}",0.5,0.0,0.9545077292511933,nan,0.9203819303464719,-11.968208972132416
target_eta1_alpha-0.08,target+CD,smooth,{},1.0,-0.08,0.9678247929530996,nan,0.9185159471722086,-12.079379519047283
target_eta2_alpha-0.05,target+CD,smooth,{},2.0,-0.05,0.9656374187676579,nan,0.9160448689205262,-12.06111936876594
mixed_p1.6_q0.5_eta2,mixed,mixed_power,"{""p"": 1.6, ""q"": 0.5}",2.0,0.0,0.9643545212543911,nan,0.916011181403615,-12.05040976930933
mixed_p1.2_q0.25_eta1.5,mixed,mixed_power,"{""p"": 1.2, ""q"": 0.25}",1.5,0.0,0.9692379424601774,nan,0.9154329291828874,-12.091176459205482
target_eta0.5_alpha-0.12,target+CD,smooth,{},0.5,-0.12,0.9632978108242177,nan,0.9149910789633114,-12.041588374512202
power_p1.6_eta1,power,power,"{""p"": 1.6}",1.0,0.0,0.9663528552411416,nan,0.9140817500748725,-12.067091816282929
target_eta-0.5_alpha-0.08,target+CD,smooth,{},-0.5,-0.08,0.968223273062528,nan,0.9140105233405232,-12.082706021998042
mixed_p1.2_q0.25_eta0.5,mixed,mixed_power,"{""p"": 1.2, ""q"": 0.25}",0.5,0.0,0.9699852694277853,nan,0.913156840018147,-12.097415127846926
mixed_p1.2_q0.25_eta1,mixed,mixed_power,"{""p"": 1.2, ""q"": 0.25}",1.0,0.0,0.9686351994972034,nan,0.9110101592837954,-12.086144774568176
target_eta0.5_alpha-0.08,target+CD,smooth,{},0.5,-0.08,0.9687804509116666,nan,0.9109527126620863,-12.087357330094491
mixed_p0.55_q0.5_eta0.5,mixed,mixed_power,"{""p"": 0.55, ""q"": 0.5}",0.5,0.0,0.9594327752434253,nan,0.9098957281128651,-12.0093231448054
sine_a-0.03_eta0.5,sine,sine,"{""coeffs"": [-0.03]}",0.5,0.0,0.9553068619059633,nan,0.9070723866910043,-11.974880113479857
target_eta0.5_alpha-0.05,target+CD,smooth,{},0.5,-0.05,0.9676794613242284,nan,0.9064526339289103,-12.078166293892902
mixed_p0.7_q0.5_eta1.5,mixed,mixed_power,"{""p"": 0.7, ""q"": 0.5}",1.5,0.0,0.9561988556340624,nan,0.9057414529150059,-11.982326456969467
target_eta1.5_alpha-0.05,target+CD,smooth,{},1.5,-0.05,0.9638779091844268,nan,0.9050495671152072,-12.046431022517229
target_eta3_alpha-0.03,target+CD,smooth,{},3.0,-0.03,0.9556971775728359,nan,0.9042924013927867,-11.97813845984862
target_eta-1_alpha-0.08,target+CD,smooth,{},-1.0,-0.08,0.9586073237505728,nan,0.9042863052776753,-12.002432294392259
target_eta1_alpha-0.05,target+CD,smooth,{},1.0,-0.05,0.964903752258583,nan,0.9024262632531732,-12.054994737323703
target_eta0.5_alpha-0.03,target+CD,smooth,{},0.5,-0.03,0.963765754900585,nan,0.9000796093590764,-12.045494761089587
mixed_p1.6_q0.75_eta1,mixed,mixed_power,"{""p"": 1.6, ""q"": 0.75}",1.0,0.0,0.9633707181219595,nan,0.8999111299385522,-12.042197002986576
mixed_p1.6_q0.5_eta1.5,mixed,mixed_power,"{""p"": 1.6, ""q"": 0.5}",1.5,0.0,0.9607568785863657,nan,0.8969249865459726,-12.020376729597174
target_eta-0.5_alpha-0.05,target+CD,smooth,{},-0.5,-0.05,0.9614844382734403,nan,0.8916243675542334,-12.026450381427324
target_eta1_alpha-0.03,target+CD,smooth,{},1.0,-0.03,0.9592753357527474,nan,0.8913290357974116,-12.008008843494206
target_eta2.5_alpha-0.03,target+CD,smooth,{},2.5,-0.03,0.953249488598925,nan,0.8902143811842952,-11.957705207594355
mixed_p1.6_q0.25_eta0.5,mixed,mixed_power,"{""p"": 1.6, ""q"": 0.25}",0.5,0.0,0.9597926286413632,nan,0.8900889185687036,-12.012327192841319
mixed_p1.6_q0.5_eta0.5,mixed,mixed_power,"{""p"": 1.6, ""q"": 0.5}",0.5,0.0,0.9617914676341263,nan,0.8900799825129834,-12.029013455593702
mixed_p1.6_q0.5_eta1,mixed,mixed_power,"{""p"": 1.6, ""q"": 0.5}",1.0,0.0,0.9595583936419656,nan,0.8875775467146161,-12.010371804358353
mixed_p0.85_q0.75_eta1,mixed,mixed_power,"{""p"": 0.85, ""q"": 0.75}",1.0,0.0,0.9485896526030411,nan,0.8875767804040936,-11.91880500197907
target_eta-0.5_alpha-0.12,target+CD,smooth,{},-0.5,-0.12,0.9578457195661209,nan,0.8872816543163099,-11.996074439867161
mixed_p1.6_q0.75_eta0.5,mixed,mixed_power,"{""p"": 1.6, ""q"": 0.75}",0.5,0.0,0.9608544287664752,nan,0.8866125433873411,-12.021191076296805
sine_a-0.06_eta1,sine,sine,"{""coeffs"": [-0.06]}",1.0,0.0,0.9345182068232858,nan,0.886431408471197,-11.80133689052186
power_p1.6_eta0.5,power,power,"{""p"": 1.6}",0.5,0.0,0.9588264508667391,nan,0.8833200869127021,-12.004261562607338
sine_a-0.03_eta1,sine,sine,"{""coeffs"": [-0.03]}",1.0,0.0,0.9406481698056967,nan,0.8831171602052051,-11.85250968300651
target_eta1.5_alpha-0.03,target+CD,smooth,{},1.5,-0.03,0.9549562846564362,nan,0.8829626004995805,-11.971953502521298
power_p1.2_eta2,power,power,"{""p"": 1.2}",2.0,0.0,0.941523953913607,nan,0.8828739383761574,-11.859820708953002
target_eta2_alpha-0.03,target+CD,smooth,{},2.0,-0.03,0.9527658888957408,nan,0.8821927514019224,-11.953668128198004
target_eta0.5_alpha0,target+CD,smooth,{},0.5,0.0,0.9523643958427209,nan,0.881407296633893,-11.950316473262212
target_eta-1_alpha-0.12,target+CD,smooth,{},-1.0,-0.12,0.9360242476418296,nan,0.8782503787468086,-11.81390928524951
mixed_p1.6_q0.25_eta1,mixed,mixed_power,"{""p"": 1.6, ""q"": 0.25}",1.0,0.0,0.9539645906467973,nan,0.8782422922237987,-11.963674863333894
