protocol,family,kind,params_json,eta,alpha,N,F_ad,F_gs,final_energy
mixed_p0.7_q0.25_eta2,mixed,mixed_power,"{""p"": 0.7, ""q"": 0.25}",2.0,0.0,0.9944931421554365,0.9900260031526246,0.9881611172910623,-12.302006295677934
mixed_p0.55_q0.25_eta1,mixed,mixed_power,"{""p"": 0.55, ""q"": 0.25}",1.0,0.0,0.9932453048123966,0.9893167084002495,0.9875945589265401,-12.291589377730272
mixed_p0.55_q0.25_eta0.5,mixed,mixed_power,"{""p"": 0.55, ""q"": 0.25}",0.5,0.0,0.9936500199582471,0.9874991219612715,0.9865905244651288,-12.294967930624217
mixed_p0.55_q0.25_eta1.5,mixed,mixed_power,"{""p"": 0.55, ""q"": 0.25}",1.5,0.0,0.992120398994603,0.9896200754172014,0.9852843684704322,-12.28219868937801
mixed_p0.7_q0.25_eta1.5,mixed,mixed_power,"{""p"": 0.7, ""q"": 0.25}",1.5,0.0,0.9939909723087975,0.9896130057788349,0.9851550495382351,-12.297814193143573
mixed_p0.85_q0.25_eta2,mixed,mixed_power,"{""p"": 0.85, ""q"": 0.25}",2.0,0.0,0.991755355644704,0.9882476252480813,0.9798291949376899,-12.279151315740373
mixed_p0.7_q0.25_eta1,mixed,mixed_power,"{""p"": 0.7, ""q"": 0.25}",1.0,0.0,0.9928803726716564,0.988508853062736,0.9794757807128991,-12.288542932464182
mixed_p0.55_q0.25_eta2,mixed,mixed_power,"{""p"": 0.55, ""q"": 0.25}",2.0,0.0,0.9896005265221722,0.9885971638450456,0.9784487132807433,-12.261162850908923
mixed_p1.2_q0.5_eta2,mixed,mixed_power,"{""p"": 1.2, ""q"": 0.5}",2.0,0.0,0.9852740580684667,0.9841200624023371,0.9766594592902613,-12.225045590004065
mixed_p0.7_q0.25_eta0.5,mixed,mixed_power,"{""p"": 0.7, ""q"": 0.25}",0.5,0.0,0.9907997132396748,0.9864677499651165,0.9727193552763598,-12.271173634533747
mixed_p0.85_q0.5_eta0.5,mixed,mixed_power,"{""p"": 0.85, ""q"": 0.5}",0.5,0.0,0.9888223869809102,0.9874638908870693,0.9715648164290187,-12.254666959598753
mixed_p0.85_q0.5_eta1,mixed,mixed_power,"{""p"": 0.85, ""q"": 0.5}",1.0,0.0,0.9849473496772735,0.986841964602978,0.9715590892704145,-12.222318235735614
mixed_p0.85_q0.25_eta1.5,mixed,mixed_power,"{""p"": 0.85, ""q"": 0.25}",1.5,0.0,0.9894920188594959,0.9873109690237657,0.9698703884753048,-12.260257031392383
target_eta3_alpha-0.08,target+CD,smooth,{},3.0,-0.08,0.9694855102564116,0.970032767706941,0.9686267030617548,-12.093243149575216
mixed_p1.2_q0.75_eta1.5,mixed,mixed_power,"{""p"": 1.2, ""q"": 0.75}",1.5,0.0,0.9789664505280042,0.9823080529988607,0.9670204734590292,-12.172389824762273
power_p1.6_eta2,power,power,"{""p"": 1.6}",2.0,0.0,0.9750432324881277,0.9776917767903326,0.9652274978942452,-12.139638889201539
baseline_OI+AH+CD,baseline,smooth,{},0.0,0.0,0.9496348515769164,0.9655192628969586,0.8564989175815801,-11.927530299399097
