protocol,family,kind,params_json,eta,alpha,N,F_ad,F_gs,final_energy,params
mixed_p0.7_q0.25_eta2,mixed,mixed_power,"{""p"": 0.7, ""q"": 0.25}",2.0,0.0,0.9944931421554364,0.9900260031526246,0.9881611172910624,-12.302006295677934,
mixed_p0.55_q0.25_eta1,mixed,mixed_power,"{""p"": 0.55, ""q"": 0.25}",1.0,0.0,0.9932453048123966,0.9893167084002495,0.98759455892654,-12.291589377730272,
mixed_p0.55_q0.25_eta0.5,mixed,mixed_power,"{""p"": 0.55, ""q"": 0.25}",0.5,0.0,0.9936500199582472,0.9874991219612717,0.9865905244651288,-12.294967930624216,
mixed_p0.55_q0.25_eta1.5,mixed,mixed_power,"{""p"": 0.55, ""q"": 0.25}",1.5,0.0,0.992120398994603,0.9896200754172014,0.9852843684704322,-12.28219868937801,
mixed_p0.7_q0.25_eta1.5,mixed,mixed_power,"{""p"": 0.7, ""q"": 0.25}",1.5,0.0,0.9939909723087976,0.9896130057788348,0.9851550495382352,-12.297814193143571,
mixed_p0.85_q0.25_eta2,mixed,mixed_power,"{""p"": 0.85, ""q"": 0.25}",2.0,0.0,0.991755355644704,0.9882476252480812,0.97982919493769,-12.279151315740371,
mixed_p0.7_q0.25_eta1,mixed,mixed_power,"{""p"": 0.7, ""q"": 0.25}",1.0,0.0,0.9928803726716564,0.988508853062736,0.9794757807128992,-12.288542932464182,
mixed_p0.55_q0.25_eta2,mixed,mixed_power,"{""p"": 0.55, ""q"": 0.25}",2.0,0.0,0.9896005265221722,0.9885971638450456,0.9784487132807432,-12.261162850908924,
mixed_p1.2_q0.5_eta2,mixed,mixed_power,"{""p"": 1.2, ""q"": 0.5}",2.0,0.0,0.9852740580684668,0.9841200624023372,0.9766594592902612,-12.225045590004065,
mixed_p0.7_q0.25_eta0.5,mixed,mixed_power,"{""p"": 0.7, ""q"": 0.25}",0.5,0.0,0.9907997132396748,0.9864677499651164,0.9727193552763598,-12.271173634533747,
mixed_p0.85_q0.5_eta0.5,mixed,mixed_power,"{""p"": 0.85, ""q"": 0.5}",0.5,0.0,0.9888223869809102,0.9874638908870692,0.9715648164290188,-12.254666959598753,
mixed_p0.85_q0.5_eta1,mixed,mixed_power,"{""p"": 0.85, ""q"": 0.5}",1.0,0.0,0.9849473496772736,0.986841964602978,0.9715590892704145,-12.222318235735614,
mixed_p0.85_q0.25_eta1.5,mixed,mixed_power,"{""p"": 0.85, ""q"": 0.25}",1.5,0.0,0.989492018859496,0.9873109690237656,0.9698703884753048,-12.260257031392385,
target_eta3_alpha-0.08,target+CD,smooth,{},3.0,-0.08,0.9694855102564116,0.970032767706941,0.9686267030617548,-12.093243149575216,
mixed_p1.2_q0.75_eta1.5,mixed,mixed_power,"{""p"": 1.2, ""q"": 0.75}",1.5,0.0,0.9789664505280042,0.9823080529988608,0.9670204734590292,-12.172389824762272,
power_p1.6_eta2,power,power,"{""p"": 1.6}",2.0,0.0,0.9750432324881276,0.9776917767903326,0.9652274978942452,-12.13963888920154,
sine_a-0.1_eta0.5,sine,sine,"{""coeffs"": [-0.1]}",0.5,0.0,0.9491090625973139,0.9736419500609635,0.9224178243302219,-11.923141024876376,{'coeffs': [-0.1]}
sine_a-0.06_eta0.5,sine,sine,"{""coeffs"": [-0.06]}",0.5,0.0,0.9539180439489509,0.9739133311728345,0.9199271357827086,-11.963286292551889,{'coeffs': [-0.06]}
sine_a-0.03_eta0.5,sine,sine,"{""coeffs"": [-0.03]}",0.5,0.0,0.9548031276954915,0.9732509151583807,0.9065821569459909,-11.970674951671564,{'coeffs': [-0.03]}
sine_a-0.06_eta1,sine,sine,"{""coeffs"": [-0.06]}",1.0,0.0,0.9336092227129348,0.9683386732221534,0.8855821819135168,-11.79374871170507,{'coeffs': [-0.06]}
baseline_OI+AH+CD,baseline,smooth,{},0.0,0.0,0.9496348515769164,0.9655192628969586,0.8564989175815801,-11.927530299399097,
