delta,protocol,N,F_ad,final_ground_fidelity,final_energy,alpha,aux_fields
0.5,SA,0.05645540500584704,0.3936439594994279,8.890659466581403e-05,6.851246693673044,,
0.5,SA+AH,0.6888680296895971,0.4094640571892009,0.011000363107331212,-6.017071113862372,,"[-4.9993389303864815, 4.9993389303864815, -4.9993389303864815, 4.9993389303864815, -4.9993389303864815, 4.9993389303864815, -4.9993389303864815, 4.9993389303864815]"
0.5,SA+CD,0.838190656766819,0.8444503958952514,0.5634830703447429,-9.055484558006873,2.20812130080403,
0.5,OI,0.8852665663433992,0.9249302891165382,0.7527849836656695,-11.390185308524224,,
0.5,OI+AH,0.9496348515769046,0.9655192628969592,0.8564989175815791,-11.927530299399097,,"[-1.0115024963721986, 1.00642209524596, -1.0072905807171948, 1.0048946683181799, -1.0058227902479238, 1.0034039343970924, -1.0046086681620723, 0.9997112913327199]"
0.5,OI+CD,0.8852665663434006,0.9249302891165385,0.7527849836656687,-11.390185308524224,0.0,
0.5,OI+AH+CD,0.9496348515769034,0.9655192628969592,0.8564989175815801,-11.927530299399097,0.0,"[-1.0115024963721986, 1.00642209524596, -1.0072905807171948, 1.0048946683181799, -1.0058227902479238, 1.0034039343970924, -1.0046086681620723, 0.9997112913327199]"
1.0,SA,-3.929232607867867e-17,0.36250000000000043,1.0466256056574439e-32,8.0,,
1.0,SA+AH,0.6241238932546542,0.43457539247506977,0.05852446190949824,-6.107929678126343,,"[-4.9993389303864815, 4.9993389303864815, -4.9993389303864815, 4.9993389303864815, -4.9993389303864815, 4.9993389303864815, -4.9993389303864815, 4.9993389303864815]"
1.0,SA+CD,2.750462825507507e-16,0.3625000000000007,1.9689853891740393e-33,7.999999999999993,10.0,
1.0,OI,0.9170633817170608,0.9501323489178533,0.7948801580650702,-14.056629220410581,,
1.0,OI+AH,0.9360464008984054,0.9649957265552797,0.8205482095173321,-14.182000171844408,,"[-0.49858568904129014, 0.3196959107722056, -0.6288826088999394, 0.4228611575000375, -0.7198623695199496, 0.44005349214803635, -0.8137595399278983, 0.3053669759867633]"
1.0,OI+CD,0.9523598890362638,0.9685393355796267,0.8596802471028261,-14.289740542831272,-0.05908462583607592,
1.0,OI+AH+CD,0.9469276168602674,0.9705318203061308,0.8401463666742928,-14.253863787682524,-0.045093150475837604,"[-0.49858568904129014, 0.3196959107722056, -0.6288826088999394, 0.4228611575000375, -0.7198623695199496, 0.44005349214803635, -0.8137595399278983, 0.3053669759867633]"
1.5,SA,0.03900619241902837,0.3689465734605017,6.97995527736865e-05,7.016490779372959,,
1.5,SA+AH,0.5658837671991748,0.44568764443269465,0.0876774338775257,-6.268296091675198,,"[4.9993389303864815, -4.9993389303864815, 4.9993389303864815, -4.9993389303864815, 4.9993389303864815, -4.9993389303864815, 4.9993389303864815, -4.9993389303864815]"
1.5,SA+CD,0.8342878533498739,0.8437512684095315,0.675919636587593,-13.035885472032515,-3.426789448467739,
1.5,OI,0.9151545125315617,0.9575600133400299,0.7545111307886325,-16.771781853534982,,
1.5,OI+AH,0.9170829876897364,0.9609643254737614,0.7511096357022677,-16.781837273312078,,"[-0.9632245230498682, 0.3568343543118647, -0.2926342821299167, 0.14561210417283146, -0.11119323275173984, 0.05783406715704878, -0.09243440024733098, -0.16382657314009855]"
1.5,OI+CD,0.9279829036617289,0.9623993224224784,0.76550783470215,-16.83867141513067,-0.039598587338377386,
1.5,OI+AH+CD,0.924640668298991,0.962934994050034,0.7525747184256616,-16.821244392841216,-0.03550810866389111,"[-0.9632245230498682, 0.3568343543118647, -0.2926342821299167, 0.14561210417283146, -0.11119323275173984, 0.05783406715704878, -0.09243440024733098, -0.16382657314009855]"
